,date,open,close,high,low,volume,code
1050,2011-09-21,17.892,18.377,18.533,17.814,216434.0,601318
1051,2011-09-22,18.208,17.81,18.364,17.727,179434.0,601318
1052,2011-09-23,17.585,17.407,17.64,17.036,293801.0,601318
1053,2011-09-26,17.168,15.74,17.356,15.68,680825.0,601318
1054,2011-09-27,16.028,16.028,16.156,15.905,352144.0,601318
1055,2011-09-28,16.202,15.882,16.289,15.822,187381.0,601318
1056,2011-09-29,15.785,15.593,15.785,15.547,277148.0,601318
1057,2011-09-30,15.689,15.373,15.698,15.291,308178.0,601318
1058,2011-10-10,15.483,15.524,15.653,15.465,192594.0,601318
1059,2011-10-11,16.074,15.726,16.161,15.653,323973.0,601318
1060,2011-10-12,15.708,16.601,16.623,15.657,366336.0,601318
1061,2011-10-13,16.5,16.628,16.871,16.463,313159.0,601318
1062,2011-10-14,16.614,16.683,16.724,16.445,172489.0,601318
1063,2011-10-17,16.788,17.022,17.21,16.738,238591.0,601318
1064,2011-10-18,16.811,16.266,16.889,16.188,199868.0,601318
1065,2011-10-19,16.358,16.298,16.665,16.193,201571.0,601318
1066,2011-10-20,16.101,15.886,16.143,15.735,184473.0,601318
1067,2011-10-21,16.028,16.028,16.234,15.941,166654.0,601318
1068,2011-10-24,16.303,16.871,16.935,16.138,309054.0,601318
1069,2011-10-25,16.807,16.981,17.173,16.582,287217.0,601318
1070,2011-10-26,16.953,17.187,17.393,16.935,305878.0,601318
1071,2011-10-27,16.99,17.397,17.429,16.972,381175.0,601318
1072,2011-10-28,17.723,17.732,18.203,17.622,579291.0,601318
1073,2011-10-31,17.768,17.713,17.942,17.604,239747.0,601318
1074,2011-11-01,17.507,17.961,18.4,17.443,389494.0,601318
1075,2011-11-02,17.677,18.355,18.391,17.585,336433.0,601318
1076,2011-11-03,18.391,18.492,18.913,18.391,420911.0,601318
1077,2011-11-04,18.739,18.496,18.867,18.487,300204.0,601318
1078,2011-11-07,18.382,18.217,18.501,18.181,185670.0,601318
1079,2011-11-08,18.313,18.277,18.501,18.181,130421.0,601318
1080,2011-11-09,18.409,18.565,18.68,18.222,216268.0,601318
1081,2011-11-10,18.272,17.787,18.281,17.773,285205.0,601318
1082,2011-11-11,17.846,17.773,17.979,17.631,123525.0,601318
1083,2011-11-14,18.025,18.295,18.35,18.025,182755.0,601318
1084,2011-11-15,18.258,18.107,18.281,18.002,116209.0,601318
1085,2011-11-16,18.034,17.278,18.13,17.164,319763.0,601318
1086,2011-11-17,17.31,17.054,17.37,16.944,232858.0,601318
1087,2011-11-18,16.885,16.66,17.026,16.532,246108.0,601318
1088,2011-11-21,16.688,16.77,16.788,16.463,164989.0,601318
1089,2011-11-22,16.623,16.642,16.852,16.55,194629.0,601318
1090,2011-11-23,16.665,16.303,16.706,16.211,173781.0,601318
1091,2011-11-24,16.166,16.55,16.738,16.124,183872.0,601318
1092,2011-11-25,16.472,16.367,16.569,16.294,93971.0,601318
1093,2011-11-28,16.482,16.504,16.692,16.427,126119.0,601318
1094,2011-11-29,16.724,16.793,16.816,16.536,180018.0,601318
1095,2011-11-30,16.697,16.147,16.738,16.097,175935.0,601318
1096,2011-12-01,16.99,17.026,17.516,16.839,531499.0,601318
1097,2011-12-02,16.898,16.99,17.026,16.761,202493.0,601318
1098,2011-12-05,17.164,16.981,17.347,16.885,211163.0,601318
1099,2011-12-06,16.99,16.862,17.123,16.72,145652.0,601318
1100,2011-12-07,16.944,17.365,17.379,16.889,222045.0,601318
1101,2011-12-08,17.223,17.397,17.576,17.045,205142.0,601318
1102,2011-12-09,17.219,17.388,17.489,17.173,133060.0,601318
1103,2011-12-12,17.397,17.178,17.448,17.109,123284.0,601318
1104,2011-12-13,16.939,16.633,17.036,16.5,137155.0,601318
1105,2011-12-14,16.486,16.491,16.578,16.349,118214.0,601318
1106,2011-12-15,16.353,16.211,16.523,16.037,127582.0,601318
1107,2011-12-16,16.12,16.463,16.66,16.111,161441.0,601318
1108,2011-12-19,16.303,16.546,16.587,15.978,182210.0,601318
1109,2011-12-20,16.417,16.633,16.807,16.385,131827.0,601318
1110,2011-12-21,16.486,15.767,16.83,15.731,333397.0,601318
1111,2011-12-22,15.749,15.566,15.891,15.433,260175.0,601318
1112,2011-12-23,15.566,15.566,15.776,15.323,217902.0,601318
1113,2011-12-26,15.447,15.373,15.689,15.328,162201.0,601318
1114,2011-12-27,15.364,15.469,15.822,15.328,129192.0,601318
1115,2011-12-28,15.387,15.625,15.662,15.318,135990.0,601318
1116,2011-12-29,15.579,15.547,15.708,15.433,105864.0,601318
1117,2011-12-30,15.616,15.772,15.872,15.589,146454.0,601318
1118,2012-01-04,15.978,15.524,16.028,15.483,145722.0,601318
